0.421,-0.956,0.068
0.475,-0.909,0.187
0.430,-0.779,-0.028
0.042,-0.942,-0.295
0.338,-0.970,-0.018
0.121,-0.926,-0.277
0.048,-0.891,0.049
-0.173,-0.940,0.069
-0.163,-0.927,-0.019
-0.026,-0.942,-0.115
0.024,-0.944,0.079
-0.104,-0.932,-0.044
0.052,-0.936,0.005
0.138,-0.945,0.264
0.695,-0.965,0.188
0.281,-0.964,-0.199
0.017,-0.925,-0.343
0.577,-0.920,0.060
-0.375,-0.930,0.074
0.390,-0.902,0.105
0.044,-0.904,-0.139
0.403,-0.950,0.150
0.127,-0.956,-0.080
0.307,-0.908,0.100
0.259,-0.942,0.265
0.177,-0.932,0.148
-0.085,-0.931,-0.055
0.037,-0.946,0.310
-0.132,-0.917,-0.276
0.118,-0.869,-0.279
0.400,-0.920,0.182
0.172,-0.944,-0.221
0.009,-0.859,-0.367
0.227,-0.926,0.134
0.645,-0.986,0.018
-0.088,-0.856,-0.054
0.262,-0.988,0.046
-0.114,-0.942,-0.200
0.083,-0.850,-0.171
0.575,-0.860,0.082
0.042,-0.932,0.056
0.034,-0.886,0.243
-0.346,-0.956,-0.046
-0.060,-0.907,-0.188
0.122,-0.933,-0.328
0.040,-0.972,-0.134
0.320,-0.957,0.392
0.360,-0.929,0.344
0.106,-0.943,0.375
0.364,-0.969,0.589
-0.155,-0.941,0.242
-0.122,-0.938,0.223
0.151,-0.910,-0.082
0.375,-0.932,0.349
-0.147,-0.953,0.191
0.291,-0.923,0.375
-0.134,-0.922,0.211
0.349,-0.928,0.398
0.095,-0.920,0.414
0.344,-0.972,0.671
-0.013,-0.937,0.396
0.073,-0.932,-0.179
0.244,-0.943,-0.040
0.051,-0.911,0.200
0.238,-0.928,0.131
-0.161,-0.923,0.258
-0.066,-0.939,0.277
0.028,-0.946,0.434
0.082,-0.902,0.054
0.059,-0.939,0.424
0.410,-0.964,0.554
0.342,-0.922,0.362
0.359,-0.944,0.541
0.394,-0.943,0.571
0.573,-0.973,0.346
0.638,-0.954,0.203
-0.026,-0.939,-0.084
0.496,-0.944,0.355
0.456,-0.977,0.561
0.430,-0.977,0.562
0.162,-0.878,-0.114
0.418,-0.917,0.297
0.191,-0.945,0.255
0.049,-0.913,0.425
-0.133,-0.931,0.289
-0.111,-0.884,-0.244
0.699,-0.977,0.279
0.202,-0.922,0.221
0.270,-0.981,0.230
-0.234,-0.921,-0.020
